name,Year,Sex,Class2,Year_Sex
190628_TT1_Hclass_Aging_001_38_9w_GF_F_Kidney_2_Pos,2,Female,2_GF,2_Female
190628_TT1_Hclass_Aging_002_4_12M_SPF_M_Kidney_1_Pos,12,Male,12_SPF,12_Male
190628_TT1_Hclass_Aging_003_27_9w_SPF_F_Kidney_3_Pos,2,Female,2_SPF,2_Female
190628_TT1_Hclass_Aging_004_14_9w_GF_M_Kidney_2_Pos,2,Male,2_GF,2_Male
190628_TT1_Hclass_Aging_005_33_18M_SPF_F_Kidney_3_Pos,19,Female,19_SPF,19_Female
190628_TT1_Hclass_Aging_006_39_9w_GF_F_Kidney_3_Pos,2,Female,2_GF,2_Female
190628_TT1_Hclass_Aging_007_28_12M_SPF_F_Kidney_1_Pos,12,Female,12_SPF,12_Female
190628_TT1_Hclass_Aging_008_43_18M_GF_F_Kidney_1_Pos,19,Female,19_GF,19_Female
190628_TT1_Hclass_Aging_009_20_18M_GF_M_Kidney_3_Pos,19,Male,19_GF,19_Male
190628_TT1_Hclass_Aging_010_8_18M_SPF_M_Kidney_3_Pos,19,Male,19_SPF,19_Male
190628_TT1_Hclass_Aging_011_19_18M_GF_M_Kidney_2_Pos,19,Male,19_GF,19_Male
190628_TT1_Hclass_Aging_012_29_12M_SPF_F_Kidney_2_Pos,12,Female,12_SPF,12_Female
190628_TT1_Hclass_Aging_013_45_18M_GF_F_Kidney_3_Pos,19,Female,19_GF,19_Female
190628_TT1_Hclass_Aging_014_11_24M_SPF_M_Kidney_4_Pos,24,Male,24_SPF,24_Male
190628_TT1_Hclass_Aging_015_31_18M_SPF_F_Kidney_1_Pos,19,Female,19_SPF,19_Female
190628_TT1_Hclass_Aging_016_6_12M_SPF_M_Kidney_3_Pos,12,Male,12_SPF,12_Male
190628_TT1_Hclass_Aging_017_18_12M_GF_M_Kidney_3_Pos,12,Male,12_GF,12_Male
190628_TT1_Hclass_Aging_018_24_24M_GF_M_Kidney_3_Pos,24,Male,24_GF,24_Male
190628_TT1_Hclass_Aging_019_17_12M_GF_M_Kidney_2_Pos,12,Male,12_GF,12_Male
190628_TT1_Hclass_Aging_020_7_18M_SPF_M_Kidney_1_Pos,19,Male,19_SPF,19_Male
190628_TT1_Hclass_Aging_021_5_12M_SPF_M_Kidney_2_Pos,12,Male,12_SPF,12_Male
190628_TT1_Hclass_Aging_022_44_18M_GF_F_Kidney_2_Pos,19,Female,19_GF,19_Female
190628_TT1_Hclass_Aging_023_35_24M_SPF_F_Kidney_3_Pos,24,Female,24_SPF,24_Female
190628_TT1_Hclass_Aging_024_10_24M_SPF_M_Kidney_3_Pos,24,Male,24_SPF,24_Male
190628_TT1_Hclass_Aging_025_36_24M_SPF_F_Kidney_5_Pos,24,Female,24_SPF,24_Female
190628_TT1_Hclass_Aging_026_2_9w_SPF_M_Kidney_2_Pos,2,Male,2_SPF,2_Male
190628_TT1_Hclass_Aging_027_15_9w_GF_M_Kidney_3_Pos,2,Male,2_GF,2_Male
190628_TT1_Hclass_Aging_028_9_18M_SPF_M_Kidney_4_Pos,19,Male,19_SPF,19_Male
190628_TT1_Hclass_Aging_029_42_12M_GF_F_Kidney_3_Pos,12,Female,12_GF,12_Female
