,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year (month),2,12,2,2,19,2,12,19,19,19,19,12,19,24,19,12,12,24,12,19,12,19,24,24,24,2,2,19,12,2,24,24,24,19,12,19,2,24,12,2,24,2,2,24,12,24,2,12,Blank,Quality control,Quality control,Quality control,Quality control,Quality control,Quality control,Quality control
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Blank,QC,QC,QC,QC,QC,QC,QC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPF/germ free,GF,SPF,SPF,GF,SPF,GF,SPF,GF,GF,SPF,GF,SPF,GF,SPF,SPF,SPF,GF,GF,GF,SPF,SPF,GF,SPF,SPF,SPF,SPF,GF,SPF,GF,SPF,GF,GF,SPF,SPF,GF,GF,GF,GF,GF,SPF,GF,SPF,GF,SPF,SPF,GF,SPF,GF,Blank,Quality control,Quality control,Quality control,Quality control,Quality control,Quality control,Quality control
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class name,2M_F_GF,12M_M_SPF,2M_F_SPF,2M_M_GF,19M_F_SPF,2M_F_GF,12M_F_SPF,19M_F_GF,19M_M_GF,19M_M_SPF,19M_M_GF,12M_F_SPF,19M_F_GF,24M_M_SPF,19M_F_SPF,12M_M_SPF,12M_M_GF,24M_M_GF,12M_M_GF,19M_M_SPF,12M_M_SPF,19M_F_GF,24M_F_SPF,24M_M_SPF,24M_F_SPF,2M_M_SPF,2M_M_GF,19M_M_SPF,12M_F_GF,2M_M_SPF,24M_F_GF,24M_M_GF,24M_M_SPF,19M_F_SPF,12M_M_GF,19M_M_GF,2M_M_GF,24M_F_GF,12M_F_GF,2M_F_SPF,24M_F_GF,2M_F_SPF,2M_F_GF,24M_F_SPF,12M_F_SPF,24M_M_GF,2M_M_SPF,12M_F_GF,Blank,QC,QC,QC,QC,QC,QC,QC
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,190628_TT1_Hclass_Aging_001_38_9w_GF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_002_4_12M_SPF_M_Kidney_1_Pos,190628_TT1_Hclass_Aging_003_27_9w_SPF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_004_14_9w_GF_M_Kidney_2_Pos,190628_TT1_Hclass_Aging_005_33_18M_SPF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_006_39_9w_GF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_007_28_12M_SPF_F_Kidney_1_Pos,190628_TT1_Hclass_Aging_008_43_18M_GF_F_Kidney_1_Pos,190628_TT1_Hclass_Aging_009_20_18M_GF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_010_8_18M_SPF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_011_19_18M_GF_M_Kidney_2_Pos,190628_TT1_Hclass_Aging_012_29_12M_SPF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_013_45_18M_GF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_014_11_24M_SPF_M_Kidney_4_Pos,190628_TT1_Hclass_Aging_015_31_18M_SPF_F_Kidney_1_Pos,190628_TT1_Hclass_Aging_016_6_12M_SPF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_017_18_12M_GF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_018_24_24M_GF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_019_17_12M_GF_M_Kidney_2_Pos,190628_TT1_Hclass_Aging_020_7_18M_SPF_M_Kidney_1_Pos,190628_TT1_Hclass_Aging_021_5_12M_SPF_M_Kidney_2_Pos,190628_TT1_Hclass_Aging_022_44_18M_GF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_023_35_24M_SPF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_024_10_24M_SPF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_025_36_24M_SPF_F_Kidney_5_Pos,190628_TT1_Hclass_Aging_026_2_9w_SPF_M_Kidney_2_Pos,190628_TT1_Hclass_Aging_027_15_9w_GF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_028_9_18M_SPF_M_Kidney_4_Pos,190628_TT1_Hclass_Aging_029_42_12M_GF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_030_3_9w_SPF_M_Kidney_3_Pos,190628_TT1_Hclass_Aging_031_48_24M_GF_F_Kidney_6_Pos,190628_TT1_Hclass_Aging_032_23_24M_GF_M_Kidney_2_Pos,190628_TT1_Hclass_Aging_033_12_24M_SPF_M_Kidney_5_Pos,190628_TT1_Hclass_Aging_034_32_18M_SPF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_035_16_12M_GF_M_Kidney_1_Pos,190628_TT1_Hclass_Aging_036_21_18M_GF_M_Kidney_5_Pos,190628_TT1_Hclass_Aging_037_13_9w_GF_M_Kidney_1_Pos,190628_TT1_Hclass_Aging_038_47_24M_GF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_039_41_12M_GF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_040_25_9w_SPF_F_Kidney_1_Pos,190628_TT1_Hclass_Aging_041_46_24M_GF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_042_26_9w_SPF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_043_37_9w_GF_F_Kidney_1_Pos,190628_TT1_Hclass_Aging_044_34_24M_SPF_F_Kidney_2_Pos,190628_TT1_Hclass_Aging_045_30_12M_SPF_F_Kidney_3_Pos,190628_TT1_Hclass_Aging_046_22_24M_GF_M_Kidney_1_Pos,190628_TT1_Hclass_Aging_047_1_9w_SPF_M_Kidney_1_Pos,190628_TT1_Hclass_Aging_048_40_12M_GF_F_Kidney_1_Pos,190628_TT1_Hclass_Aging_Blank_Pos,190628_TT1_Hclass_Aging_QC_Pos_01,190628_TT1_Hclass_Aging_QC_Pos_02,190628_TT1_Hclass_Aging_QC_Pos_03,190628_TT1_Hclass_Aging_QC_Pos_04,190628_TT1_Hclass_Aging_QC_Pos_05,190628_TT1_Hclass_Aging_QC_Pos_06,190628_TT1_Hclass_Aging_QC_Pos_07
2656,1.298,512.26611,BA 24:1;O3;G;S,[M-H]-,,0.179,TRUE,2.27,512.26868,C26H43NO7S,BASulfate,FHXBAFXQVZOILS-UHFFFAOYSA-N,C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O,410,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,88.9,87.8,86.8,100,31.3,190628_TT1_Hclass_Aging_048_40_12M_GF_F_Kidney_1_Neg,512.26611:3705 513.26946:1325 514.27282:8447,,,,79.95405:2 80.96241:2 96.97449:1 124.00746:5 205.03889:4 206.04897:2 332.2399:1 480.26218:1 510.58789:2 512.27002:465,0.093663536,0.0012087,0.008197444,0.071007173,0.001007931,0.046374222,0.088778079,1.259930813,0.100971903,0.029682298,0.059855025,0.007816138,0.443911241,0.00112296,0.031416804,0.002786555,1.241062665,0.047509847,0.218137299,0.015250947,0.004735086,0.076635903,0.01395355,0.11536441,0.002747802,0.00317116,0.091225638,0.045584231,0.86923546,0.001654529,0.005449077,0.474412611,0.01077789,0.052594838,0.178549801,0.017632462,0.106281579,0.167817262,0.537381646,0.001661988,0.617394413,0.001779156,0.361869767,0.030262764,0.004950164,0.242057866,0.003865139,2.796618418,0,0.213387397,0.238401645,0.194483617,0.278622876,0,0,23.6420875
2551,3.334,498.28604,BA 24:1;O3;T,[M-H]-,,0.036,TRUE,3.536,498.28949,C26H45NO6S,BA_Conjugated,BHTRKEVKTKCXOH-BJLOMENOSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,330,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,91.7,99.6,74.5,75,100,13.69,190628_TT1_Hclass_Aging_029_42_12M_GF_F_Kidney_3_Neg,498.28604:1090 499.28939:691 500.29275:294,,,,205.07861:5 498.28748:279,0.000600407,0.02538269,0.021664674,0.001173672,0.007559481,0.033366818,0.082898736,0.107435961,0.098553415,0.009344427,0,0.014429792,0.119054362,0.013475514,0.024505107,0.005573109,0.408363093,0.034552616,0.121416044,0.000693225,0,0,0.008078371,0.090179222,0.010991208,0,0.002359284,0.005408299,0.885482852,0,0.001556879,0.0058881,0.005388945,0.004045757,0.004601799,0.007556769,0.004541948,0.003323114,0.559922823,0.006647951,0.003849092,0,0.303394325,0.006371108,0.028875958,0.003891606,0,0.002264468,0.002183724,0.001734857,0.000915169,0.003226032,0,0,1.949862887,0
2552,1.585,498.28711,BA 24:1;O3;T,[M-H]-,ion correlated with 7680,0.125,TRUE,2.45,498.28949,C26H45NO6S,BA_Conjugated,BHTRKEVKTKCXOH-LBSADWJPSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,430,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,92.2,91,75,75,100,40.99,190628_TT1_Hclass_Aging_041_46_24M_GF_F_Kidney_2_Neg,498.28925:1216 499.2926:1105 500.29596:417,,,,498.28699:863,0.10387046,0.02719574,0.077875719,0.172529824,0.012095169,0.059947165,0.12581794,1.974063964,0.281753934,0.052768529,0.078271956,0.052909239,0.23332262,0.02302067,0.097392092,0.03622521,0.691717076,0.012957231,0.231856626,0.045752841,0.071815472,0.080893454,0.12044117,0.380215097,0.061825543,0.00951348,0.051117814,0.020087966,2.968398477,0.023990676,0.037365103,0.136267452,0.070954442,0.195005475,0.150018647,0.017632462,0.029068466,0.108001208,0.878204234,0.031577767,0.93609926,0.022239446,0.604246239,0.113883559,0.076727546,0.077832111,0.067253414,4.611967215,0,0,0.000915169,0.002304308,0.001026235,0,0,23.6420875
2553,1.384,498.29141,BA 24:1;O3;T,[M-H]-,,0.018,TRUE,2.45,498.28949,C26H45NO6S,BA_Conjugated,BHTRKEVKTKCXOH-LBSADWJPSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,430,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,90.8,86.8,74,75,100,8.61,190628_TT1_Hclass_Aging_048_40_12M_GF_F_Kidney_1_Neg,498.29141:526 499.29476:231 500.29812:69,,,,496.67383:2 498.29218:145,0.007204887,0.02538269,0.035717435,0.001173672,0.014614996,0.006220932,0.229294376,0.18040049,0.016324799,0.017039838,0.016690344,0.138886752,0.005384368,0.011229595,0.099905437,0.033438656,0.167373308,0.001234022,0.069282601,0.019410296,0.106539437,0.00425755,0.161567423,0.402963009,0.062512493,0.00396395,0.001572856,0.001545228,0.233150072,0.007445382,0.003113759,0.07570414,0.070056285,0.261355885,0.059823387,0.001679282,0.001816779,0.036554255,0.184837647,0.016619878,0.060815659,0.0080062,0.090679309,0.198300743,0.16335542,0.001556642,0.042516526,0.397036785,0,0.034697138,0.069552879,0.057607706,0.068244646,0,0,0
2554,3.5,498.29156,BA 24:1;O3;T (TCDCA),[M-H]-,,0.125,TRUE,3.536,498.28949,C26H45NO6S,BA_Conjugated,BHTRKEVKTKCXOH-BJLOMENOSA-N,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,330,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,93.7,100,74.3,75,100,29.54,190628_TT1_Hclass_Aging_041_46_24M_GF_F_Kidney_2_Neg,498.28931:1107 499.29266:882 500.29602:278,,,,79.95854:5 91.04174:5 155.07133:2 249.06825:5 498.26187:15 498.29007:380,0.004803258,0.055600179,0.027519991,0.019952429,0.002519827,0.016966179,0.088778079,2.773226645,0.025394131,0.004397377,0.004028704,0.013828551,0.063415892,0.014036994,0.189757496,0.048764706,0.157650378,0.035786638,0.108382683,0.080414085,0.002367543,0.03335081,0.047001432,0.165734786,0.009617307,0.00237837,0.195034123,0.006180913,0.386687924,0.006618118,0.006227517,0.294404989,0.173344397,0.204715291,0.178549801,0.00839641,0.054503374,0.16283259,0.211887059,0.002492982,0.852189047,0,0.264410696,0.0485797,0.058576943,0.160334149,0.003092111,0.541207937,0.002729655,0.36475366,0.447975452,0.407862561,0.530050518,7.719865306,1.949862887,0
